ID,Recipient,Amount,Currency
1,Mary Bennett,7339.73,ZAR
2,Amanda Matthews,7993.55,CAD
3,Jeffrey Curry,8122.83,MXN
4,Jerry Keller,1774.47,EUR
5,Pamela Steele,9827.64,KRW
6,Jessica Owen,2731.56,DKK
7,James Olson,1137.47,DKK
8,Gina Jenkins,1431.77,MXN
9,Carla Reed,5129.8,MXN
10,Margaret Clark,4748.62,AUD
11,Rachel Sandoval,9498.45,CAD
12,Alicia Jones,9316.34,CHF
13,Mrs. Julia Henry,5147.77,SGD
14,Amanda Castillo,756.66,NZD
15,Dustin Campbell,6340.24,NZD
16,Daniel Garcia,2335.47,DKK
17,Bryan Mays,7318.64,BRL
18,Elizabeth Perez,70.05,SGD
19,Carol Edwards,2466.74,DKK
20,Monique Livingston,9959.96,INR
21,Angela Austin,4851.94,MXN
22,Tabitha Lee,5939.12,NOK
23,Kevin Mann,190.6,CHF
24,Leah Wilcox,8429.72,JPY
25,Steven Greene,6600.55,MXN
26,Matthew Carter,1123.23,NZD
27,Mackenzie Kim,9563.27,AUD
28,Alicia Robles,2265.24,HKD
29,Charles Schmidt,4612.84,GBP
30,Samantha White,9003.72,JPY
31,Victoria Medina,4865.7,SGD
32,Michelle Williams,9805.93,MXN
33,Lauren Johnson,3647.42,SGD
34,Ian Scott,9370.33,SGD
35,Ryan Whitehead,9975.51,GBP
36,Kelly Castillo,3888.93,ZAR
37,Taylor Hampton,9325.23,KRW
38,Jeffery Perez,7363.12,NZD
39,Eric Carroll,8850.99,PLN
40,Eric Garza,252.84,GBP
41,Maria Thomas,7600.85,MXN
42,Beth Garcia,4924.96,GBP
43,Paula Harper,9359.56,KRW
44,Mark Hill,6604.45,INR
45,Joshua Walters,9920.56,DKK
46,Roberto Howard,4214.96,USD
47,Sara Walker,9296.6,SGD
48,David Dickerson,7859.2,KRW
49,Michael Roberts,7860.54,PLN
50,Victoria Rogers,5844.38,GBP
51,Todd Young,7459.77,GBP
52,Ian Burnett,7152.83,PLN
53,Matthew Newton,6155.67,DKK
54,Lucas Hudson,8104.78,NOK
55,Michael Meadows,8219.55,SGD
56,Michael Crawford,8216.58,NOK
57,William Smith,6716.0,AUD
58,Jennifer Glass,1916.96,JPY
59,Maria Barker,5216.27,GBP
60,Linda Ramirez,2223.53,NOK
61,George Ward,6377.9,ILS
62,Lauren Long,3964.71,USD
63,Charles Smith,6904.85,BRL
64,Robert Jackson,2100.73,NOK
65,Frank Flynn,9737.58,PLN
66,Marco Diaz,1901.79,AUD
67,James Roberts,6002.19,MXN
68,Ian Moore,7434.42,CAD
69,Christine Reynolds,4866.82,NOK
70,Michael Fisher,3652.31,ILS
71,Denise Barrera,4053.26,EUR
72,Tammie Martinez,5066.96,NOK
73,Crystal Lindsey,7616.08,CHF
74,Matthew Jensen,2814.91,AUD
75,Laurie Carrillo,6214.99,JPY
76,Martin Green,6928.01,AUD
77,Tonya Perkins,1700.34,CHF
78,Jessica Moreno,3218.3,JPY
79,Sandy Davis,304.96,AUD
80,Jared Smith,3518.66,SGD
81,Laura Patel,887.41,KRW
82,Taylor Miranda,6720.51,USD
83,Sarah Maldonado,8955.0,SEK
84,Stephen Ramirez,3066.65,INR
85,John Moreno,634.44,NZD
86,Michelle Lowe,5184.16,EUR
87,Kristina Herring,8949.17,MXN
88,Elizabeth Wright,6944.67,JPY
89,Carrie Becker,5034.25,INR
90,Diana Hurley,4770.11,JPY
91,Amber Gardner,2047.81,SGD
92,Samantha Lynn,9046.41,GBP
93,Stephen Stewart,4690.22,BRL
94,Robert Rodriguez,2814.88,JPY
95,Dylan Davis,8045.69,SEK
96,Stacie Johnson,9152.39,ILS
97,Shannon Richard,9072.2,ILS
98,Steven Boyle,1674.34,MXN
99,Thomas Ortiz,1737.88,SGD
100,Michael Chavez,3927.95,GBP
101,William Tucker,1951.46,SGD
102,Shawn Austin,2533.56,USD
103,Susan Lozano,9236.8,CAD
104,John Young,2070.62,BRL
105,Karen Rowe,3775.22,GBP
106,Sarah Mills,7223.41,SEK
107,Jason Blake,2861.31,USD
108,Manuel Barnes,8324.97,JPY
109,Randy Smith,9188.6,GBP
110,Adam Garrison,4376.2,AUD
111,Debra Cox,3033.2,CAD
112,Anthony Jones,7091.86,PLN
113,Austin Rollins,670.04,INR
114,Justin Benton,7967.62,HKD
115,Rose Hull,3754.6,NZD
116,Ralph Williams,796.21,USD
117,Andrea Montes,6186.29,BRL
118,Andrew Jones,3826.01,EUR
119,Kari Brewer,1305.56,ILS
120,Julia Phillips,3161.83,USD
121,Jennifer Newton,7171.49,ILS
122,Johnny Harris,6855.24,MXN
123,Matthew Pena,2396.71,SEK
124,Samuel Lee,3242.48,AUD
125,Jillian Marshall,4522.97,SGD
126,Thomas Wilson,9519.06,SGD
127,Charles Ruiz,4905.51,GBP
128,Elaine Mitchell,8236.4,GBP
129,Evan Anderson,236.57,NZD
130,Mr. James Kennedy DDS,2820.78,NOK
131,Kelly Duran,401.14,ZAR
132,Rhonda Smith,7820.44,GBP
133,Thomas Morrison,7178.36,HKD
134,Marie Smith,4686.75,ILS
135,Kevin Johnson,4517.49,CHF
136,Benjamin Harris,1578.34,USD
137,Timothy Moore,5033.27,AUD
138,Brent Glenn,8355.96,ILS
139,Carrie Rodriguez,2339.42,SEK
140,Diane Hill,6063.98,KRW
141,Christopher Davis,6488.62,HKD
142,Matthew Miller,7386.09,AUD
143,Kimberly Carroll,4426.3,DKK
144,Colton Garrett,3071.93,NZD
145,Tabitha Martinez,1079.53,ZAR
146,Carly Gray,3518.68,ILS
147,Michael Davies,1347.72,HKD
148,Amy Mitchell,7232.22,EUR
149,Bruce Valentine,7597.43,PLN
150,Valerie Foster,9232.9,SEK
151,Michael Thomas,4757.0,NOK
152,Heather Woods,2846.34,CHF
153,Penny Smith,8954.67,USD
154,Yvonne Green,4781.03,GBP
155,Nicole Rivas,595.18,INR
156,Paul Gomez,3120.06,AUD
157,Dr. Jennifer Hudson DDS,5446.49,CHF
158,Thomas Green,9334.3,NZD
159,Thomas Gray,5316.36,SGD
160,Mr. Sean Hamilton,3134.26,PLN
161,Susan Graves,45.24,GBP
162,Harold Brown,3915.15,SGD
163,Sheila Flores,3250.9,HKD
164,Andrew Bender,4157.06,HKD
165,Nathan Thompson,5243.41,BRL
166,Kenneth Walters,2593.04,DKK
167,Susan Cervantes,1684.15,PLN
168,Jose Jordan,6165.99,NZD
169,Hannah Roberson,8274.23,CHF
170,Christy Peterson,5418.55,NZD
171,Lisa Scott,9134.87,ZAR
172,William Carlson,8975.22,NOK
173,Bruce Silva MD,2840.85,CAD
174,Stacey Fitzgerald,5068.09,PLN
175,Jennifer Murray,6654.12,GBP
176,Keith Nixon,3999.82,DKK
177,Dr. Julie Harper,6579.97,DKK
178,Alexandra Nelson,549.71,NOK
179,Jesus Gray,9857.7,EUR
180,Phyllis Patton,6419.42,DKK
181,Katherine Mason,3347.55,PLN
182,Jared Miller,6795.85,AUD
183,Samantha Gates,85.91,BRL
184,Phillip Larson,2130.74,JPY
185,Mr. Austin Taylor MD,9981.11,PLN
186,Anne Davila,4478.65,DKK
187,Craig Perez,8934.97,BRL
188,Amy Gray,5137.73,NOK
189,Thomas Sanchez,4278.85,NZD
190,Eric Ellis,2452.0,KRW
191,Jacob Harrington,8720.18,JPY
192,Kevin Osborne,5775.35,ILS
193,Mrs. Leah Garcia,905.4,BRL
194,Abigail Fletcher,1587.18,USD
195,Stanley Rowe,279.97,INR
196,Julie Martinez,9533.08,SGD
197,Richard Maldonado,2434.01,ZAR
198,James Anderson,4270.19,CHF
199,Jonathan Thomas,5187.6,KRW
200,Matthew Richmond,3008.46,ILS
201,Kim Smith,4681.13,SGD
202,Joseph Gonzales,6373.84,CHF
203,Brandy Owens,7344.21,CHF
204,Brittany Fisher,9769.45,GBP
205,Maria Diaz,4363.25,BRL
206,Rick Dominguez,7055.75,USD
207,Thomas Ross,1894.52,USD
208,Jacob Ramirez,6643.94,SGD
209,Lori Gonzalez,7173.26,GBP
210,Mr. Mark Parker,2222.6,INR
211,Rebekah Glass,8234.27,MXN
212,David Lee,1027.03,BRL
213,John Hall,3459.4,INR
214,Michael Davis,366.94,SEK
215,Ricky Wilkins,6099.88,CHF
216,Kimberly Washington,436.73,KRW
217,Amanda Johnson,6198.03,MXN
218,Brian Harris,7222.57,ZAR
219,Justin Robles,911.61,KRW
220,Benjamin Jacobson,3131.23,ILS
221,Jay Gates,5707.23,KRW
222,Rachel Johnson,453.26,JPY
223,Frank Rowland,8397.85,EUR
224,Linda Chandler,5405.67,CHF
225,Natalie Mason,5770.38,NZD
226,Heather Nash,1162.78,CAD
227,Victoria Sims,7609.57,SEK
228,Mrs. Catherine Roth,7453.88,HKD
229,Elizabeth Santiago,2239.46,SGD
230,Martha Taylor,50.51,NOK
231,Amy Meadows,5689.23,SEK
232,Carrie Moore,2574.6,MXN
233,Benjamin Vargas,306.47,ZAR
234,Jamie Krause,5165.25,ILS
235,Vanessa Jones,6925.19,KRW
236,Valerie Drake,3322.99,NOK
237,Kimberly Watson,9948.48,HKD
238,Joshua Buchanan,5729.17,MXN
239,Daniel Rivera,7182.33,AUD
240,Jorge Robles,8831.81,HKD
241,Vanessa Gould,3302.85,NZD
242,Roger Brown,7512.51,SEK
243,Emily Macias DDS,3210.37,PLN
244,Kevin Campbell,9422.98,NZD
245,David George,1825.77,NZD
246,Tiffany Cardenas,1929.65,NZD
247,Joshua Malone,5496.0,AUD
248,Elizabeth Munoz,676.73,AUD
249,Steven Kennedy,2938.55,ZAR
250,Dr. Lindsey Jenkins,3902.93,USD
251,Dorothy Carter,4248.68,SGD
252,James Fox,737.1,HKD
253,Justin Sullivan,2725.97,USD
254,Lee Freeman,309.61,HKD
255,Jennifer Nelson,9773.15,SGD
256,Mark Fuller,7893.18,CAD
257,Colleen Johnson,1397.12,KRW
258,John Gonzalez,6554.08,PLN
259,Rhonda Davis,8613.6,DKK
260,Bradley Fitzgerald,4594.13,CAD
261,David Robinson,5874.2,INR
262,Terry Campbell,8339.9,CAD
263,Kevin Hopkins,5501.95,USD
264,Julia Davidson,7620.42,ILS
265,Marc Reese,3549.79,USD
266,Chris Poole,213.92,USD
267,Kathryn Robinson,3744.49,ILS
268,Emily Townsend,6191.84,KRW
269,Suzanne Lee,8923.56,KRW
270,Pamela Chavez,7237.65,PLN
271,Samuel Garcia,1611.09,USD
272,Bryan Hayes DDS,4001.2,CAD
273,Kaitlyn Mendez,1976.39,NZD
274,Jennifer Daniels,7846.2,AUD
275,April Fuller,5132.42,KRW
276,Kathryn Lawrence,7913.96,NOK
277,Yolanda Brown,5985.79,CHF
278,Maria Lindsey,2652.24,NZD
279,Danielle Murphy,9442.48,INR
280,Mr. Kyle Garcia,3067.81,KRW
281,Zachary Gordon,404.74,KRW
282,Gary Harris,1603.25,CAD
283,Linda James,4056.71,SGD
284,Michael Mclean,6666.31,USD
285,Paul Carr,4023.59,KRW
286,James Figueroa,6713.4,NZD
287,Ariel Rodgers,9645.29,DKK
288,Katherine Scott,847.63,KRW
289,Wanda Rose,5494.78,USD
290,Cindy Martinez,1201.91,GBP
291,Andrew Powell,8522.84,SGD
292,John Ramirez,1853.89,SGD
293,Andrew Price,3872.97,EUR
294,Mark Davis,7416.68,GBP
295,Hayley Frey,4425.1,SGD
296,Elizabeth Anderson,4738.65,MXN
297,Vincent Mccarthy,5762.64,CAD
298,Nicholas Peters,9163.39,NZD
299,Tammy Gay,7419.77,ILS
300,Caleb Richardson,5005.32,CHF
301,Lauren Griffith,2894.42,DKK
302,Kelsey Rogers,6652.46,GBP
303,Paul Molina,2725.31,USD
304,Paige Barr,2744.41,AUD
305,Christine Li,3942.51,GBP
306,Nancy Bridges MD,5399.9,CAD
307,Stephanie Cohen,9737.4,USD
308,Brittany Hopkins,9679.04,ILS
309,David Williams,6181.61,AUD
310,John Salas,4405.36,HKD
311,Dr. Michael Castillo,2570.87,JPY
312,Amanda Henderson,8803.76,SEK
313,Jamie Velasquez,3344.15,HKD
314,Taylor Carpenter,8584.37,EUR
315,Brett James,562.41,NZD
316,Brandon Anderson MD,9198.97,USD
317,Randy Lee,7746.47,INR
318,Jerry Hood,2874.36,USD
319,Michael Woods,5445.09,ZAR
320,Lance Jacobs,3237.92,ILS
321,Elizabeth Miller,2416.43,USD
322,Susan Dillon,3505.95,GBP
323,Tim Hines,4247.27,SGD
324,Brittany Miller,4046.05,CAD
325,Monica Moore,445.85,PLN
326,Victor Williams,3338.94,USD
327,Jose Stewart,292.93,JPY
328,David Sanchez,3047.85,AUD
329,Mark Valentine,8455.52,CHF
330,Dominic Young,4323.11,KRW
331,Christopher Drake,9025.02,KRW
332,Carol Edwards,8849.83,ZAR
333,Casey Foley,767.27,BRL
334,Travis Shields,6945.08,DKK
335,Anna Liu,5110.73,SEK
336,Brianna Taylor,9536.59,GBP
337,Eric Cole,5142.14,JPY
338,Daniel Chen,7779.6,EUR
339,Julian Hamilton,2360.93,CHF
340,Andrew Ortega,7968.36,SGD
341,Frederick Williams,9656.35,JPY
342,Linda Flores,716.69,NOK
343,Christopher Zimmerman,1303.46,SEK
344,Ann Smith,4680.74,KRW
345,Brittany Baker,7691.13,JPY
346,Gina Thomas,9885.47,PLN
347,Kathleen Bass,2679.07,CAD
348,Dr. Patricia Thompson,2712.53,HKD
349,Jessica Parker,9814.54,KRW
350,Jonathan Gonzalez,141.08,HKD
351,Edward Sullivan,4624.99,PLN
352,Andrew Richmond,6577.51,ZAR
353,Pamela Matthews,8325.69,GBP
354,Dr. Carla Sanders,213.19,HKD
355,Mr. Kevin Levy,101.43,NZD
356,Aaron Lewis,6098.22,PLN
357,Amber Mendez,8748.56,USD
358,Elizabeth Dixon,1735.75,SGD
359,Edward Haas,122.81,JPY
360,Ashley Harris,1253.03,NZD
361,Tracy Petty,3055.2,SEK
362,Amanda Salazar,8939.2,ILS
363,Jenna Jones,2356.8,JPY
364,Stephanie Hobbs,2232.12,KRW
365,Mark Walters,3916.75,CAD
366,Stephen Ramos,5319.99,INR
367,Natalie Gross,6515.27,EUR
368,Ronald Garcia,9667.59,CHF
369,Timothy Johnson,6974.6,EUR
370,Victor Mccall,1360.16,CAD
371,Matthew Reed,3549.98,MXN
372,Debbie Wright,2795.72,INR
373,Gene Wilson,6759.38,CHF
374,Jenna Cruz,4200.71,CHF
375,Brian Garcia,7347.57,ILS
376,Mark Sampson,3167.7,INR
377,Nicholas Nelson,5474.53,EUR
378,Stacie Golden,7738.08,ILS
379,Julian Smith,3930.22,SGD
380,Kimberly Ferguson,2384.09,DKK
381,John Johnson,391.39,SGD
382,Karen Walter,5403.09,ZAR
383,Amanda Wagner,4083.66,ILS
384,Eduardo Castillo,9897.36,AUD
385,Shane Watkins,8618.44,BRL
386,Robin Wood,8869.44,BRL
387,Albert Vaughan,1611.54,NZD
388,Wesley Bates,2864.39,PLN
389,Katie Lopez,1845.9,EUR
390,Oscar Davis,1247.94,HKD
391,Amanda Green,699.23,GBP
392,Dale Ramirez,9728.94,GBP
393,Robert Carey,584.11,GBP
394,Leroy King,9711.65,CHF
395,Jessica Garcia,7395.02,JPY
396,Cynthia Marquez,9976.7,CHF
397,Nancy Sandoval,3105.72,ILS
398,Diane Barton,7481.69,DKK
399,Kathleen Marsh MD,7443.4,CHF
400,Ryan Guzman,5687.93,DKK
401,Richard Meyers,4256.61,NOK
402,Pamela Hamilton,1206.95,ZAR
403,Steven Watkins,657.69,SGD
404,John Butler,3015.21,PLN
405,Micheal Byrd,1954.57,AUD
406,Taylor Farrell,5350.27,AUD
407,Mark Lloyd,4774.03,EUR
408,Loretta Terrell,5380.62,ZAR
409,Emma Roberts,6255.33,KRW
410,Dr. Michael Le,2028.66,BRL
411,Stephanie Aguilar,7258.11,CAD
412,Vanessa Jenkins,5775.26,ZAR
413,Andrew Moore,7817.22,SEK
414,Todd Williams,8924.97,MXN
415,James Williams,1244.69,BRL
416,Ryan Wilson,490.38,SGD
417,Amy Steele,4794.52,NZD
418,Ian Kim,5821.78,KRW
419,Robert Buckley,4235.67,PLN
420,Stacey Holt,6824.98,HKD
421,James Gordon,4609.23,CAD
422,Destiny Gill,9210.17,GBP
423,Danielle Harrell,4616.73,CHF
424,John Williamson,1485.34,JPY
425,Shane Rojas,5041.61,CAD
426,Jessica Rodriguez,9400.35,BRL
427,Kelly Price,1521.06,PLN
428,Nicholas Patterson,7649.59,GBP
429,Richard Williams,5996.59,INR
430,Dr. Kevin Carlson,2284.23,PLN
431,Megan Coleman,3840.6,MXN
432,Laura Velez,2835.51,NZD
433,Jason Beck,7671.41,NOK
434,Anthony May,565.54,ILS
435,Jordan Stein,7628.65,MXN
436,Latoya Pugh,9901.42,DKK
437,Sandra Bradley,8453.47,ZAR
438,Jonathan Williams,765.71,GBP
439,Mariah Figueroa,7037.47,NOK
440,Traci Wilson,8853.57,CHF
441,Robert Smith,2009.21,HKD
442,James Wright,4150.19,NZD
443,Stacey Stephens,7103.19,EUR
444,Shelby Frost,7553.46,ILS
445,Tonya Warner,40.97,CHF
446,Gail Nixon,8320.57,SGD
447,Tiffany Jackson,2455.58,DKK
448,Stephanie Pena,4574.27,CAD
449,Julia Stanton,8558.55,INR
450,Paige Mathews,9396.18,CAD
451,Jerry Moreno,6989.72,DKK
452,Erica Johnson,4026.52,KRW
453,Joseph Cline,6613.81,EUR
454,Natalie Gordon,8641.65,INR
455,Darius Ross PhD,6277.02,SGD
456,Brad Hamilton,9758.28,GBP
457,Miss Donna Mendez,6124.37,MXN
458,Dr. Colin Hernandez,4288.77,PLN
459,Brian Hill,3669.11,SGD
460,Margaret Torres,5997.49,BRL
461,Jeffrey Waller,705.24,KRW
462,James Mccoy,916.78,JPY
463,Michael Ramirez,1869.54,HKD
464,Greg Anderson,7139.31,AUD
465,Kristin Hernandez,3955.29,NOK
466,Steven Arnold,7170.16,DKK
467,Gary Neal,7695.56,CHF
468,Joan Davis MD,1968.98,PLN
469,Megan Harris,9562.26,AUD
470,Tony Baxter,8054.06,CAD
471,Louis Sparks,4393.14,GBP
472,Kelly Howe,5176.02,USD
473,James Weiss,7648.06,DKK
474,Brittany Diaz,507.4,CAD
475,Jonathan Ward,1101.68,HKD
476,Hector Smith,2016.35,GBP
477,Mitchell Cunningham,5756.71,BRL
478,Dana Burgess,5200.99,AUD
479,James Adams,6764.03,JPY
480,Kelly Lee,157.44,GBP
481,Lorraine Carter,1933.14,HKD
482,Morgan Robbins,1241.1,SGD
483,Gary Little,5469.29,ILS
484,Kevin Moore,4347.81,SGD
485,Deborah Patterson,4873.62,NOK
486,James Harris,8054.53,CAD
487,Brittany Morris,527.77,DKK
488,Michael Byrd,8574.51,EUR
489,Eileen Bradley,4832.47,SEK
490,April Griffith,8829.07,NZD
491,Theresa Scott,1848.89,ILS
492,Tina Griffin,2578.31,DKK
493,Sean Taylor,3024.12,HKD
494,Samantha Anderson,1569.21,NOK
495,Tanya Shelton,1238.36,GBP
496,Nicholas Holloway,412.65,DKK
497,Charles Lewis,3727.87,MXN
498,Kimberly Weber,292.13,AUD
499,Katrina Vega,8220.47,INR
500,Margaret Wilson,4362.21,DKK
501,Ashley Garcia,2620.42,JPY
502,Frank Graham,8948.79,INR
503,Jay Holloway,8486.27,NOK
504,Stephanie West,5192.96,BRL
505,Tammy Hooper,3630.85,KRW
506,Stephen Russell,7214.32,CAD
507,Jeff Hughes,4185.8,KRW
508,Heather Delacruz,3945.6,KRW
509,Taylor Marquez,5679.05,BRL
510,Matthew Gonzalez,959.0,JPY
511,Steven Charles,418.22,DKK
512,Terry Fox,2620.18,JPY
513,Alejandra Adkins,8276.97,ILS
514,Adriana Russell,2907.53,GBP
515,Sarah Adams,6428.42,DKK
516,Christopher Clark,2741.78,CHF
517,Lauren Adams,9430.77,KRW
518,Patricia Davis,9237.66,SGD
519,Randall Booker,8937.46,JPY
520,Clifford Martinez,6529.39,SEK
521,Matthew Peterson,4134.7,USD
522,Alexis Sullivan,469.21,CHF
523,Terri Dickerson,888.41,MXN
524,Mitchell Crosby,2446.8,JPY
525,Thomas Mitchell,1248.89,NOK
526,Stephen Fox,2585.25,SEK
527,Gary Sanders,244.32,GBP
528,Sarah Walker,9822.63,EUR
529,Jason Ellis,7594.25,SEK
530,Cynthia Johns,1700.7,KRW
531,Christopher Cox,5165.27,JPY
532,Amanda Martinez,7226.65,BRL
533,Emily Fleming,5128.37,HKD
534,Dalton Bradford,267.13,HKD
535,Derek Jensen,7176.92,CHF
536,Melissa Porter,1526.64,JPY
537,John Goodwin,9153.69,ILS
538,Justin Terry,6218.84,ILS
539,Samuel Vaughn,353.51,USD
540,Stephanie Fisher,6206.66,NOK
541,Craig Ramirez,1716.92,ZAR
542,Christine Evans,2518.28,USD
543,Brenda Castillo,6326.58,ZAR
544,Alexis Morris,2011.42,SEK
545,Theresa Johnson,9732.08,PLN
546,Micheal Quinn,3631.37,NZD
547,Andrea Robinson,4791.6,NZD
548,Jennifer Maxwell,6316.63,CAD
549,Meredith Berry,7329.67,BRL
550,Rebecca Walker,9741.64,PLN
551,Henry Jones,6893.9,PLN
552,Sandra Martin,6537.79,NOK
553,Alyssa Todd,116.54,KRW
554,Pedro Miller,9002.15,CHF
555,Matthew Martin,1090.84,NZD
556,Robert Garcia,629.77,USD
557,Bradley Kane,5130.71,ZAR
558,Candice Reilly,1275.41,HKD
559,Mr. Steven Hurst,8063.14,EUR
560,John Thomas,6994.79,CAD
561,Lindsey Williams,1826.97,MXN
562,Steven Kelley,6103.71,ILS
563,Sandra Ferguson,1386.74,INR
564,Cynthia Stanley,8647.98,NOK
565,Yolanda Delacruz,1384.69,ZAR
566,Julia Williams,8460.06,GBP
567,Diane Powers DVM,1178.3,HKD
568,Garrett Turner,1036.29,INR
569,Alexis Beck,3982.96,CHF
570,Cindy Pena,3682.12,JPY
571,Kyle Gill,2306.54,USD
572,Morgan Barnes,8278.65,INR
573,Gary Adams,4867.02,HKD
574,Omar Robbins,6357.17,SGD
575,Dylan Hernandez,4310.63,INR
576,Cole Lewis,6539.47,EUR
577,Janet Hopkins,6985.32,GBP
578,Kimberly Jackson,8442.59,NOK
579,Janet Serrano,8086.02,CAD
580,Stacey Bryan,5420.0,NZD
581,Dan Conner,3803.53,USD
582,George Carter,3959.99,NZD
583,Mr. Blake Robinson,8154.02,ILS
584,Michael Fisher,2923.32,SEK
585,Christopher Hawkins,6902.1,PLN
586,Manuel Hickman,8225.39,SEK
587,Kevin Flores,6502.65,JPY
588,Denise Pitts,7132.68,NZD
589,Tonya Hill,9287.12,SGD
590,Christopher Jackson,3825.25,AUD
591,Chad Fernandez,2677.51,PLN
592,Christopher Russell,4207.4,INR
593,Amanda Miller,6859.32,DKK
594,Joshua Phelps,2375.78,BRL
595,Michelle Williams,3194.75,SGD
596,Diana Campos,1803.41,USD
597,Douglas Miller,8208.67,INR
598,Dawn Quinn,3405.92,AUD
599,Haley Sullivan,3942.41,NOK
600,Charles White,4675.74,ZAR
601,Tommy Peters,2840.82,EUR
602,James Kramer,3881.45,NOK
603,Ashlee Smith,7475.24,BRL
604,Anthony Keith,8637.76,HKD
605,Gordon Romero DDS,3489.91,EUR
606,Teresa Avila,8900.26,DKK
607,Marc Schmidt,6121.29,NZD
608,Jacqueline Morris,1260.05,EUR
609,Tara Mann,9180.29,HKD
610,Ryan Saunders,1028.73,INR
611,Amy Gallagher,5946.21,KRW
612,Gavin Diaz,7908.69,CAD
613,James Gordon,2285.33,MXN
614,Kathleen Contreras,7083.64,NZD
