ID,Recipient,Amount,Currency
1,Natasha Thomas,5047.29,AUD
2,Marc Joyce,1899.63,ZAR
3,Anthony Franco,9669.46,CAD
4,Robert Koch,7183.03,MXN
5,Mrs. Alyssa Cole,8754.06,NOK
6,Janet Carpenter,6730.3,NOK
7,Rebecca Smith,7063.75,ILS
8,Mr. Brett Walker,8484.45,NOK
9,Darryl Mendoza,3209.72,SGD
10,Kimberly Page,7700.28,CHF
11,James Bates,565.44,KRW
12,Stacy Young,3148.79,INR
13,Frank Duncan,118.48,INR
14,Vincent Schultz,3479.5,NOK
15,Kyle Mclean,8075.71,DKK
16,Mark Wade,7199.64,SEK
17,Ian Contreras,9840.51,CHF
18,Kristen Powell,7310.65,MXN
19,April Jensen,256.58,ZAR
20,Jeremy Reyes,4502.77,CHF
21,Amanda Martinez,5967.78,CAD
22,Ashley Davis,7021.77,DKK
23,Sandra Odonnell,2983.93,EUR
24,Richard Ramirez,5978.81,CHF
25,Patricia Young,9343.49,PLN
26,John Young,6711.45,CHF
27,Brianna Phillips,1657.48,CHF
28,Courtney Wallace,9328.0,CHF
29,Shannon Meyer,3415.51,SGD
30,Jonathan Sosa,8208.63,USD
31,Thomas Morgan,5468.0,EUR
32,Meghan Bennett,6883.37,CHF
33,Donna Cochran,9361.86,AUD
34,Shari Peterson DDS,4906.81,AUD
35,Brandon Byrd,4615.12,NZD
36,Jonathan Cross,8085.57,MXN
37,Robert Garcia,8206.0,NZD
38,Susan Harvey,537.36,GBP
39,Megan Moore,5508.66,JPY
40,Michael Frey,4854.15,MXN
41,Kevin Adams,7514.87,CAD
42,Debbie Phillips,4518.4,MXN
43,Christina Benton,3023.49,HKD
44,Kevin Andrade,5704.96,INR
45,Jenny Peters,4403.34,CAD
46,Ian Davis,3950.82,BRL
47,Kelly Bartlett,1613.19,BRL
48,Seth Patel,771.01,PLN
49,Darin Norris,8044.08,ILS
50,Adam Hanson,4209.57,GBP
51,Mr. Michael Williams,2520.81,HKD
52,Victoria Vasquez,5392.91,SEK
53,Carol Hines,2791.45,CAD
54,Stephanie Price,9878.83,NZD
55,Matthew Wilson,1790.37,BRL
56,Allison Smith,4155.25,JPY
57,Amanda Calhoun,5791.28,NOK
58,Paul Parker,6329.91,KRW
59,Kelly Riley,1483.85,ZAR
60,Douglas Hicks,9067.48,KRW
61,Rebecca Davis,5440.77,SGD
62,Donna Young,594.14,CHF
63,David Wang,7166.22,CAD
64,Aaron Griffith,1346.55,AUD
65,Samantha Jones,2406.41,HKD
66,Alan Mills,4441.55,AUD
67,Pamela Wilson,9351.46,NZD
68,Wesley Hutchinson,88.69,CHF
69,Haley Yoder,4863.09,PLN
70,Michelle Mccoy,9131.98,BRL
71,Amy Conway,8805.98,CAD
72,Kathleen Wheeler,8410.57,ZAR
73,Nathan Kelley,9532.35,CHF
74,Tyrone Lucas,9361.08,EUR
75,Shawn Ward,1749.06,ZAR
76,Hunter Dennis,1728.16,PLN
77,Daniel Stevens,9474.97,SEK
78,Tom Rowland,6156.79,KRW
79,Nicole Wheeler,6587.02,INR
80,James Powers,902.4,KRW
81,Eric Solis,2051.79,DKK
82,Gregory Carroll,5402.55,SGD
83,Louis Maldonado,8528.96,GBP
84,Ashley Hernandez,4798.04,CAD
85,Alice Navarro,208.42,NOK
86,Michele Johnson,5186.45,SEK
87,Crystal George,3045.51,BRL
88,Susan Williams,6891.79,HKD
89,Michael Hall,7589.28,ILS
90,Sara Jackson,1316.97,PLN
91,Jessica Aguilar,2452.15,INR
92,Daniel Hicks,2755.64,NZD
93,Patricia Lamb,5710.94,NZD
94,Mr. Brandon Brown,9079.27,HKD
95,Jasmine Macias,3856.76,SEK
96,Christopher Perkins,5338.31,MXN
97,Manuel Contreras,4988.65,CAD
98,Kenneth Chase,7174.34,SGD
99,Margaret Rhodes,9100.84,AUD
100,Jermaine Pope,9880.09,NOK
101,Melissa Stanley,2782.75,NOK
102,Christina Mcneil,9308.13,DKK
103,Christopher Bolton Jr.,4830.68,HKD
104,Audrey Edwards,5380.91,USD
